Asset No.,Department,Capitalization Date,QTY,Overall QTY,BUn,Asset description,Other Identifiers,,Status,Corrective Action Taken                                                                              ,
3988,Mechanical,11/30/2020,1,1,UN,MAGNETIC DRILL PRESS; MODEL: DWE1622K,Found Operational; Brand : Dewalt B101,,Operational In Good Condition,,
4059,Mechanical,7/31/2021,1,1,SET,DIGITAL ULTRASONIC THICKNESS GAUGE; OLYMPUS;,Found Operational. S/N : 200869812,,Operational In Good Condition,,
4293,Mechanical,12/31/2023,1,1,PC,"ULTRASONIC THICKNESS GAUGE FOR STEEL,TI45-NA (MEC)",Found Operational. Brand : JFE Advantech ; S/N:0FUP023,,Operational In Good Condition,,
4294,Mechanical,12/31/2023,1,1,PC,"ULTRASONIC THICKNESS GAUGE FOR STEEL,TI45-NA (MEC)",Found Operational. Brand : JFE Advantech ; S/N : 0FUP023,,Operational In Good Condition,,
3071,Mechanical,6/30/2013,1,1,UN,"TOOLS,CALIPER, VERNIER, MITUTOYO, 300MM (MEC)",Found Operational but with Damaged Upper Fixed Internal Jaw .,,Operational In Good Condition,,
3318,Mechanical,12/31/2014,1,1,UN,"REFERENCE KIT, OPTICAL PHASE CMVA 65 (MEC)",Found Operational but with slight issue on wire,,Operational In Good Condition,,
3463,Mechanical,8/31/2015,1,1,UN,"CALIPER, VERNIER 300MM, MODEL CN 530-115 (MECH) ",Found Operational but Damaged Upper Fixed Internal Jaw . S/N: 17157057,,Operational In Good Condition,,
3563,Mechanical,1/1/2016,1,1,UN,"SKF MICROLOG VIBRATION ANALYZER, MODEL: CMXA-75 (M)",Item is under 3rd Party Calibration. Probe was damaged. Issue with program update. *with DELL Laptop,,Undergoing Repair,,
3817,Mechanical,12/31/2018,1,1,SET,"MONITORING PEN, VIBRATION & TEMP; SKF CMAS100-SL ",Found Operational but with Power on/off issue.  S/N : 120253,,Operational In Good Condition,,
3985,Mechanical,10/31/2020,1,1,UN,HYDRAULIC JACK 50-TONS CAP (ENERPAC); STROKE:250MM,Found Damaged @ Mech Tool Room,,Unserviceable,,
4070,Mechanical,8/31/2021,1,1,SET,ULTRASONIC THICKNESS GAUGE;JFE ADVANTECH TI45-NA,Damaged. Broken Cord and Sensor,,Undergoing Repair,,
3820,Mechanical,,1,1,PC,"CHAIN BLOCK, 10TON CAPX3M LIFT; MODEL:CB-100; KITO",,,Operational In Good Condition,,
3821,Mechanical,,1,1,PC,"CHAIN BLOCK, 10TON CAPX3M LIFT; MODEL:CB-100; KITO",,,Operational In Good Condition,,
3822,Mechanical,,1,1,PC,"CHAIN BLOCK, 10TON CAPX3M LIFT; MODEL:CB-100; KITO",,,Operational In Good Condition,,
3823,Mechanical,,1,1,PC,"CHAIN BLOCK, 10TON CAPX3M LIFT; MODEL:CB-100; KITO",,,Operational In Good Condition,,
3986,Mechanical,,1,1,UN,HYDRAULIC JACK 50-TONS CAP (ENERPAC); STROKE:250MM,,,Operational In Good Condition,,
2560,Mechanical,,1,1,PC,Heating Plate for Vulc.Machine 1200mmBW,,,,,
2561,Mechanical,,1,1,PC,Heating Plate for Vulc.Machine 600mmBW,,,,,
2479,Mechanical,,1,1,PC,"Cutter,Plasma,100.120amp.230V,3-Phase",,,,,
2453,Mechanical,,2,2,PC,"Block,Chain,10-ton.cap,Model:CB-10",,,,,
2418,Mechanical,,4,4,PC,Block Chain 3-ton cap. *One (1) item found Unserviceable; Three (3) items Not Found,,,,,
2419,Mechanical,,1,1,PC,Block Chain 5-ton cap.,,,,,
2415,Mechanical,,1,1,PC,Chain Block 10T cap,,,,,
2414,Mechanical,,1,1,PC,Chain Block 5T cap,,,,,
2279,Mechanical,,2,2,PC,Chain Block 15ton cap,,,,,
2991,Mechanical,,1,1,PC,"GAUGE, ULTRASONIC DIG THICKNESS, OLYMPUS (MECH)",,,,,
3124,Mechanical,,1,1,UN,ULTRASONIC GAUGE -  Model  TI-45N (MEC),,,,,
3484,Mechanical,,1,1,UN,CALIPER – ELECTRONIC VERNIER DIGITAL (MEC),,,,,
3813,Mechanical,,1,1,SET,"MONITORING PEN, VIBRATION & TEMP; SKF CMAS100-SL",,,,,
2591,Mechanical,,1,1,PC,Rockwell Hardness Tester,,,,,
2592,Mechanical,,1,1,PC,Portable Hardness Tester,,,,,
2590,Mechanical,,1,1,PC,Atlas Copco Pneumatic Impact Wrench,,,,,
2585,Mechanical,,1,1,PC,Tools for TH Brake 25/40 BS,,,,,
2586,Mechanical,,1,1,PC,Tools for TH Brake 260 BS,,,,,
2587,Mechanical,,1,1,PC,Tools for TH Brake 120 BS,,,,,
2588,Mechanical,,1,1,PC,Tools for TH Brake 40 BS,,,,,
2589,Mechanical,,1,1,PC,Tools for TH Brake 450 BS,,,,,
2583,Mechanical,,4,4,PC,Std. Socket Wrench 1/2 Drive,,,,,
2584,Mechanical,,1,1,PC,Socket Wrench 110mm 2.5 drive,,,,,
2582,Mechanical,,2,2,PC,Impact Wrench,,,,,
2668,Mechanical,,2,2,PC,Lever Hoists 1.5 ton cap.,,,,,
2581,Mechanical,,2,2,PC,35 tonner Screw Jack,,,,,
2580,Mechanical,,2,2,PC,Chain Block 10-ton cap.,,,,,
2579,Mechanical,,1,1,PC,Jaw Bearing Puller 13-ton,,,,,
2578,Mechanical,,1,1,PC,Hydraulic Jack 30-ton cap.,,,,,
2577,Mechanical,,1,1,PC,Chain Block 5-ton cap.,,,,,
2576,Mechanical,,1,1,PC,HD Air Impact Wrench,,,,,
2575,Mechanical,,4,4,PC,Handle Ratchet 500ml 1drive,,,,,
2574,Mechanical,,1,1,PC,Fab. of Belt Conveyor Winding Mach.,,,,,
2573,Mechanical,,2,2,PC,Hydraulic Jack 20T Cap.,,,,,
2572,Mechanical,,2,2,PC,Drill AEG Percussion SB2-16,,,,,
2571,Mechanical,,1,1,PC,Spot Repair Vulcanizing Machine,,,,,
2569,Mechanical,,2,2,PC,Chain Block 5 Ton cap.,,,,,
